Year        DJF     MAM     JJA     SON
1659      -99.9     8.0    15.0     9.3
1660        2.0     8.7    15.0     9.7
1661        5.0     8.3    14.7    10.7
1662        5.7     8.3    15.0    10.0
1663        1.7     7.3    14.7    10.0
1664        4.7     8.0    15.7     9.3
1665        2.0     7.3    15.0     9.3
1666        3.7     8.3    16.7    10.3
1667        2.3     6.3    16.0     9.3
1668        4.3     7.7    15.3    10.0
1669        3.3     7.7    16.0    10.0
1670        2.0     8.0    15.3    10.0
1671        3.5     8.0    15.0     9.3
1672        2.3     8.0    15.0     9.7
1673        3.7     7.8    15.2     8.0
1674        2.5     6.5    13.7     8.7
1675        2.8     6.8    13.7     7.7
1676        5.0     7.7    16.8     7.5
1677        2.0     8.2    15.3     8.7
1678        1.8     7.2    15.3     9.8
1679        1.0     7.8    16.2     9.2
1680        3.2     7.7    14.7    10.5
1681        1.0     7.5    15.0    10.7
1682        3.7     7.5    14.5     9.3
1683        3.8     8.8    15.0     8.0
1684       -1.2     7.5    15.5     8.7
1685        2.7     8.7    14.3    10.0
1686        6.3     9.3    15.5     9.5
1687        4.7     7.3    14.5     9.3
1688        3.7     6.5    14.5     7.7
1689        2.7     8.0    14.3     8.7
1690        4.3     7.3    14.7     9.3
1691        2.2     7.2    15.2     8.3
1692        1.8     6.8    14.5     7.7
1693        3.8     6.2    14.8     9.2
1694        2.7     6.7    13.7     7.8
1695        0.7     6.0    13.2     8.7
1696        4.7     6.5    14.7     8.7
1697        1.3     8.0    14.3     8.3
1698        1.0     6.5    14.0     8.7
1699        3.4     6.8    15.5     9.4
1700        3.3     7.3    14.5     8.9
1701        3.2     6.1    16.2     9.5
1702        5.1     7.4    14.8     9.6
1703        3.5     8.6    15.4     8.5
1704        3.5     8.4    16.0     8.9
1705        3.4     7.8    15.1     8.2
1706        3.8     9.2    16.1     9.9
1707        3.7     8.2    16.3     9.7
1708        4.5     8.8    15.3    10.2
1709        1.2     8.0    15.2    10.3
1710        3.2     8.0    15.0    10.3
1711        4.8     8.7    15.3     9.8
1712        3.8     7.8    15.3     9.5
1713        4.2     6.8    14.2     9.3
1714        4.5     7.5    15.8     9.8
1715        4.3     9.0    14.8    10.3
1716        0.8     8.0    15.0     9.2
1717        3.3     7.7    14.8     9.5
1718        3.2     8.0    16.2     9.8
1719        3.8     7.8    16.7     9.8
1720        4.0     7.5    14.7     9.5
1721        3.8     7.2    15.2     9.7
1722        4.5     8.0    14.7    10.4
1723        3.1     9.4    15.3    10.6
1724        5.2     7.8    15.5     9.4
1725        3.7     8.0    13.1     9.7
1726        3.1     8.7    16.0    10.3
1727        3.7     9.3    16.2    10.0
1728        3.3     9.3    16.4     9.7
1729        1.7     6.7    15.9    11.6
1730        4.6     9.1    15.2    11.8
1731        2.5     8.3    16.2    11.8
1732        4.7     8.8    15.7    10.6
1733        5.0     9.0    16.5     9.5
1734        6.1     9.5    15.5     9.3
1735        4.1     8.5    14.8    10.3
1736        5.0     8.7    16.6    10.6
1737        5.6     9.1    15.7     9.7
1738        4.7     8.9    15.5     9.7
1739        5.6     8.0    15.3     8.8
1740       -0.4     6.3    14.3     7.5
1741        2.8     6.9    15.8    11.2
1742        3.1     7.1    15.5     8.6
1743        3.4     8.0    15.8    10.8
1744        3.1     7.4    15.4     9.7
1745        3.2     7.8    14.4    10.1
1746        2.2     7.6    15.3     8.4
1747        4.8     7.6    16.6    10.2
1748        3.2     6.2    15.3    10.2
1749        5.0     8.1    14.9    10.2
1750        5.1     8.9    15.5     9.5
1751        3.2     7.5    14.9     8.4
1752        3.1     7.6    15.4    10.3
1753        3.3     8.5    15.2     9.2
1754        3.5     7.4    14.7    10.0
1755        2.3     7.8    15.1     8.9
1756        4.3     7.3    14.9     9.0
1757        2.4     7.9    15.9     9.5
1758        3.2     8.7    15.1     8.6
1759        5.2     8.9    16.5     9.8
1760        2.7     9.2    16.0    10.2
1761        5.8     9.4    15.5     9.9
1762        4.4     8.9    16.7     8.7
1763        2.6     8.2    15.1     9.1
1764        4.6     7.8    15.1     8.6
1765        2.7     8.0    14.9     8.8
1766        1.4     7.3    15.3     9.9
1767        2.9     7.3    14.4    10.1
1768        3.0     8.3    15.2     8.8
1769        3.3     8.0    14.8     8.9
1770        4.4     6.0    14.7     9.4
1771        2.6     6.9    14.8     9.2
1772        2.9     7.0    16.4    10.6
1773        3.8     8.4    15.9     9.2
1774        2.9     8.6    15.6     9.2
1775        4.7     9.5    16.4     9.5
1776        2.2     8.9    15.2     9.8
1777        2.9     8.6    14.9    10.6
1778        2.6     7.8    16.5     8.8
1779        5.6     9.7    16.6    10.6
1780        1.4     9.0    16.2     9.7
1781        3.4     9.3    17.0    10.4
1782        4.2     6.1    14.9     7.7
1783        3.2     7.9    16.5     9.6
1784        1.2     7.3    14.3     9.4
1785        1.4     7.3    15.4     9.3
1786        3.0     7.1    15.4     7.5
1787        4.1     8.6    15.1     9.0
1788        3.8     8.9    15.7     9.8
1789        2.1     7.3    15.3     8.8
1790        5.7     8.1    15.0     9.5
1791        4.4     8.9    15.3     9.5
1792        2.6     8.7    15.1     9.2
1793        3.9     7.1    15.4     9.7
1794        4.8     9.5    16.4     9.4
1795        0.5     7.5    15.0    10.7
1796        6.2     8.2    14.8     9.1
1797        2.6     7.7    15.6     8.5
1798        4.1     9.5    16.5     9.4
1799        2.0     6.1    14.6     8.9
1800        2.1     8.5    16.1     9.5
1801        4.2     9.0    16.0     9.7
1802        2.3     8.4    14.8     9.7
1803        2.9     8.6    15.8     8.6
1804        4.4     8.3    15.9    10.5
1805        2.8     8.2    15.2     9.2
1806        4.0     8.0    15.5    10.6
1807        4.4     7.5    16.1     8.3
1808        2.4     7.6    16.6     8.6
1809        3.3     8.1    14.5     9.2
1810        3.3     7.4    14.8     9.7
1811        3.1     9.6    14.9    11.2
1812        3.7     6.6    13.8     9.1
1813        3.1     8.7    14.4     8.3
1814        0.4     7.2    14.3     8.5
1815        3.7     9.3    14.8     9.0
1816        2.4     6.8    13.4     8.7
1817        4.7     7.3    14.3     9.6
1818        3.2     7.6    16.6    11.6
1819        4.1     9.0    15.7     8.9
1820        1.4     8.3    14.7     8.7
1821        3.5     8.2    14.5    11.3
1822        5.8     9.6    16.0    10.4
1823        1.5     8.0    13.6     9.3
1824        4.6     7.6    14.8    10.1
1825        4.3     8.6    15.9    10.4
1826        3.8     8.8    17.6     9.7
1827        2.7     8.9    15.2    10.7
1828        5.7     9.1    15.6    10.6
1829        4.0     7.8    14.8     8.0
1830        1.1     9.5    14.2     9.7
1831        2.7     9.3    16.3    10.7
1832        4.1     8.4    15.5    10.1
1833        4.0     8.9    14.9     9.6
1834        6.5     9.3    16.2    10.4
1835        4.7     8.6    16.1     9.6
1836        3.4     8.0    15.1     8.5
1837        3.8     5.6    16.0     9.4
1838        1.4     7.2    15.0     9.0
1839        3.6     6.9    14.6     9.7
1840        3.8     8.3    14.6     8.1
1841        1.6     9.3    13.8     9.1
1842        3.1     8.5    15.7     8.6
1843        4.4     8.2    14.3     9.3
1844        4.3     8.4    14.5     9.5
1845        1.5     6.7    14.2     9.2
1846        5.8     8.7    17.1    10.4
1847        1.7     8.2    15.5    10.0
1848        4.1     9.3    14.6     9.4
1849        5.1     8.2    15.0     9.7
1850        3.5     7.9    15.4     9.2
1851        5.0     7.9    14.8     8.9
1852        4.8     8.0    15.9     9.5
1853        4.5     7.3    14.6     9.2
1854        3.1     8.7    14.6     9.6
1855        1.9     6.4    15.3     9.4
1856        3.8     7.3    15.2     9.3
1857        3.8     8.0    16.5    11.0
1858        4.2     7.8    15.8     9.5
1859        5.1     8.8    16.4     9.1
1860        2.3     7.4    13.5     8.5
1861        2.7     8.1    15.2     9.7
1862        4.3     8.9    13.8     8.8
1863        5.7     8.6    14.8     9.6
1864        3.7     8.6    14.4     9.5
1865        2.7     8.7    15.8    10.9
1866        5.3     7.8    15.2    10.1
1867        4.7     7.9    15.1     9.2
1868        4.5     9.7    16.9     9.2
1869        6.8     7.8    15.3    10.0
1870        3.0     8.5    16.1     9.0
1871        2.4     9.1    15.1     8.6
1872        5.2     8.2    15.5     9.5
1873        4.1     7.7    15.3     8.9
1874        4.9     8.8    15.4     9.9
1875        2.8     8.7    15.0     9.7
1876        4.1     7.3    16.0    10.0
1877        5.9     7.0    15.0     9.2
1878        5.0     8.7    16.0     9.0
1879        0.7     6.4    13.7     8.5
1880        2.5     8.2    15.2     9.0
1881        2.3     8.1    14.6     9.6
1882        5.1     9.1    14.4     9.2
1883        4.8     6.9    14.6     9.6
1884        5.5     8.3    15.9     9.7
1885        4.4     7.0    14.6     8.5
1886        2.4     7.4    15.1    10.5
1887        2.7     6.3    16.1     7.8
1888        2.5     6.7    13.7     9.3
1889        3.7     8.2    15.1     9.4
1890        4.0     8.3    14.0     9.9
1891        1.5     6.5    14.6     9.7
1892        3.3     7.2    14.3     8.6
1893        2.9    10.2    16.5     9.3
1894        4.4     8.5    14.5     9.6
1895        1.2     8.6    15.3    10.0
1896        4.4     9.2    15.6     8.1
1897        3.8     7.9    15.9     9.9
1898        5.4     7.7    15.1    11.2
1899        5.8     7.6    16.9    10.2
1900        3.1     7.4    15.8    10.2
1901        4.3     8.1    15.8     9.5
1902        3.2     7.7    14.3     9.7
1903        5.3     8.2    14.2    10.0
1904        3.6     8.0    15.2     9.1
1905        4.2     8.3    15.5     8.1
1906        4.4     7.6    15.6    10.7
1907        3.1     8.1    13.6    10.0
1908        4.1     7.6    14.9    10.7
1909        3.4     7.8    13.9     9.0
1910        4.2     8.2    14.7     8.8
1911        5.0     8.5    17.0     9.8
1912        5.1     9.4    14.3     8.5
1913        5.3     8.6    14.7    11.1
1914        5.2     8.9    15.5    10.1
1915        4.3     8.0    14.8     8.4
1916        5.5     7.7    14.5    10.1
1917        1.5     7.1    15.5     9.8
1918        4.2     8.5    14.9     8.9
1919        3.9     8.1    14.6     7.8
1920        5.6     9.1    14.0    10.1
1921        5.4     9.0    16.2    10.5
1922        4.9     7.6    13.7     8.8
1923        5.7     7.8    15.1     8.5
1924        3.9     7.5    14.4    10.2
1925        5.8     8.0    15.7     8.5
1926        4.7     8.6    15.6     9.5
1927        4.2     8.8    14.7     9.7
1928        4.4     8.6    14.8    10.2
1929        1.7     8.1    14.9    10.5
1930        4.6     8.1    15.4    10.1
1931        3.8     7.8    14.7     9.4
1932        4.8     7.4    15.8     9.4
1933        4.1     9.4    17.0    10.2
1934        3.2     8.0    16.2    10.4
1935        6.1     8.2    16.3    10.0
1936        3.0     8.3    15.4     9.8
1937        5.4     8.3    15.7     9.6
1938        4.6     9.1    15.3    11.2
1939        4.7     8.7    15.4    10.4
1940        1.5     9.1    15.7     9.8
1941        2.6     7.0    15.7    10.5
1942        2.2     8.5    15.5     9.6
1943        5.9     9.6    15.6    10.1
1944        4.3     8.9    15.7     9.3
1945        3.7    10.1    15.7    11.2
1946        4.5     8.6    14.7    10.6
1947        1.1     8.6    17.0    10.9
1948        5.1     9.6    14.8    10.4
1949        5.6     8.8    16.5    11.5
1950        5.1     8.8    15.9     9.4
1951        2.9     7.0    15.0    10.7
1952        3.9     9.9    15.7     7.9
1953        3.5     8.5    15.4    10.7
1954        4.1     8.2    14.1    10.5
1955        3.5     7.4    16.5    10.1
1956        2.9     8.3    14.1     9.9
1957        5.5     9.5    15.6     9.9
1958        4.2     7.4    15.3    10.8
1959        3.6     9.8    16.6    11.5
1960        4.6     9.4    15.4    10.2
1961        4.9     9.7    15.0    10.7
1962        3.6     6.9    14.4     9.5
1963       -0.3     8.4    14.8    10.7
1964        3.5     8.8    15.1    10.1
1965        3.3     8.3    14.5     9.3
1966        4.4     8.2    15.0     9.8
1967        5.1     8.4    15.5     9.9
1968        3.5     8.1    15.1    11.0
1969        3.2     7.3    15.7    10.8
1970        3.3     7.8    15.9    11.0
1971        4.4     8.1    15.0    10.4
1972        4.9     8.4    14.2     9.5
1973        4.9     8.2    15.6     9.8
1974        5.4     8.3    14.8     8.9
1975        6.4     7.7    16.9     9.9
1976        5.2     8.3    17.8    10.1
1977        3.3     8.2    14.4    10.6
1978        4.1     8.3    14.5    11.5
1979        1.6     7.5    15.0    10.5
1980        4.6     8.2    14.8    10.1
1981        4.5     9.0    15.0    10.3
1982        2.6     8.8    15.9    10.8
1983        4.3     7.8    17.1    10.6
1984        4.2     7.6    16.3    10.9
1985        2.7     8.0    14.5     9.9
1986        2.9     7.3    14.8    10.0
1987        3.5     8.2    14.8     9.9
1988        5.3     8.8    14.8     9.6
1989        6.5     9.0    16.5    10.9
1990        6.2     9.6    16.2    10.7
1991        3.0     8.9    15.5    10.6
1992        4.6     9.9    15.7     9.5
1993        4.7     9.2    14.9     8.5
1994        4.7     8.8    16.2    11.0
1995        5.9     8.8    17.4    11.4
1996        3.0     7.4    15.8    10.4
1997        4.0     9.6    16.6    10.9
1998        6.1     9.6    15.2    10.6
1999        5.4     9.9    15.9    11.4
2000        5.4     9.2    15.7    10.7
2001        4.5     8.5    16.1    11.4
2002        5.4     9.6    15.8    11.0
2003        4.7     9.7    17.3    10.5
2004        5.1     9.3    16.2    11.0
2005        5.2     9.2    16.2    11.5
2006        4.1     8.6    17.2    12.6
2007        6.4    10.1    15.2    10.7
2008        5.6     9.1    15.4    10.1
2009        3.5     9.7    15.8    11.5
2010        2.4     8.5    15.9     9.8
2011        3.1    10.2    14.8    12.4
2012        5.1     9.1    15.2     9.8
2013        3.8     6.9    16.3    10.8
2014        6.1    10.0    15.9    12.1
2015        4.5     8.7    15.3    11.0
2016        6.7     8.6    16.4    10.8
2017        5.4    10.3   -99.9    -99.9
